food_id,name,name_nepali,category,calories,protein,carbohydrates,fat,fiber,sugar,sodium,serving_size_g,is_vegetarian,is_vegan,is_gluten_free,contains_nuts,contains_dairy,contains_gluten,contains_egg,is_nepali,data_source
1,Dal Bhat,दाल भात,nepali_staple,130,4.5,25.0,1.2,3.0,0.5,150,300,True,True,True,False,False,False,False,True,manual_calc
2,Dhido,ढिडो,nepali_staple,105,2.5,21.0,0.5,2.5,0.0,5,250,True,True,True,False,False,False,False,True,FAO_Nepal_2012
3,Chiura,चिउरा,nepali_staple,340,6.5,77.0,1.0,2.0,0.0,5,100,True,True,True,False,False,False,False,True,NARC
4,Baji,बजी,nepali_staple,340,6.5,77.0,1.0,2.0,0.0,5,100,True,True,True,False,False,False,False,True,NARC
5,Puri,पुरी,nepali_bread,310,7.0,42.0,12.0,2.5,1.0,300,50,True,True,False,False,False,True,False,True,manual_calc
6,Roti,रोटी,nepali_bread,297,9.0,50.0,6.5,6.0,1.5,150,50,True,True,False,False,False,True,False,True,manual_calc
7,Plain Rice,भात,nepali_staple,130,2.7,28.0,0.3,0.4,0.05,1,200,True,True,True,False,False,False,False,True,USDA
8,Jeera Rice,जिरा भात,nepali_staple,140,2.8,28.5,1.5,0.5,0.1,150,200,True,False,True,False,True,False,False,True,manual_calc
9,Pulao,पुलाउ,nepali_staple,160,3.5,30.0,3.0,1.5,1.0,200,250,True,False,True,True,True,False,False,True,manual_calc
10,Masoor Dal Cooked,मसुरो दाल,nepali_staple,116,9.0,20.0,0.4,8.0,0.5,200,150,True,True,True,False,False,False,False,True,USDA
11,Mung Dal Cooked,मुंग दाल,nepali_staple,105,7.0,19.0,0.4,7.5,0.5,180,150,True,True,True,False,False,False,False,True,USDA
12,Chana Dal Cooked,चना दाल,nepali_staple,164,8.9,27.4,2.6,7.6,1.0,250,150,True,True,True,False,False,False,False,True,USDA
13,Rajma Cooked,राजमा,nepali_staple,127,8.7,22.8,0.5,6.4,0.3,200,150,True,True,True,False,False,False,False,True,USDA
14,Kwati,क्वाटी,nepali_staple,140,9.5,24.0,1.0,8.5,1.0,210,200,True,True,True,False,False,False,False,True,FAO_Nepal_2012
15,Samay Baji,समय बजी,nepali_staple,220,10.0,35.0,4.0,5.0,1.0,350,300,False,False,True,False,False,False,True,True,manual_calc
16,Tornak,तोर्नाक,nepali_bread,250,6.0,45.0,4.5,4.0,1.0,200,80,True,True,False,False,False,True,False,True,manual_calc
17,Naan,नान,nepali_bread,290,9.6,48.0,6.0,2.5,2.0,350,100,True,False,False,False,True,True,False,True,USDA
18,Buff Momo,बफ मम,nepali_snack,210,12.0,22.0,8.0,1.5,1.0,450,150,False,False,False,False,False,True,False,True,manual_calc
19,Chicken Momo,चिकेन मम,nepali_snack,190,11.0,22.0,6.0,1.5,1.0,400,150,False,False,False,False,False,True,False,True,manual_calc
20,Veg Momo,भेज मम,nepali_snack,160,5.0,25.0,4.5,3.0,1.5,350,150,True,True,False,False,False,True,False,True,manual_calc
21,Fried Buff Momo,फ्राइड बफ मम,nepali_snack,280,12.0,24.0,15.0,1.5,1.0,480,150,False,False,False,False,False,True,False,True,manual_calc
22,Chatamari,चतामरी,nepali_snack,180,8.0,25.0,5.0,2.0,0.5,300,100,False,False,True,False,False,False,True,True,manual_calc
23,Bara,बरा,nepali_snack,210,12.0,28.0,6.0,5.0,0.5,250,80,True,True,True,False,False,False,False,True,FAO_Nepal_2012
24,Sel Roti,सेल रोटी,nepali_snack,350,5.0,58.0,11.0,1.5,15.0,10,50,True,False,True,False,True,False,False,True,NARC
25,Yomari,योमरी,nepali_snack,300,4.0,55.0,7.0,2.0,20.0,5,60,True,False,True,True,True,False,False,True,manual_calc
26,Lakhamari,लाखामरी,nepali_snack,450,5.0,65.0,18.0,1.0,30.0,15,40,True,False,True,False,True,False,False,True,manual_calc
27,Samosa,समोसा,nepali_snack,260,4.5,32.0,13.0,2.5,1.5,350,100,True,True,False,False,False,True,False,True,USDA
28,Pakoda,पकौडा,nepali_snack,290,7.0,28.0,16.0,3.5,1.0,400,100,True,True,False,False,False,True,False,True,manual_calc
29,Aloo Chop,आलु चप,nepali_snack,240,4.0,30.0,11.0,3.0,1.0,380,80,True,True,False,False,False,True,False,True,manual_calc
30,Phuraula,फुरौला,nepali_snack,270,6.0,40.0,9.0,4.0,1.0,200,60,True,True,True,False,False,False,False,True,manual_calc
31,Khajuri,खजुरी,nepali_snack,400,6.0,60.0,15.0,2.0,25.0,50,50,True,False,False,False,True,True,False,True,manual_calc
32,Nimki,निम्की,nepali_snack,480,8.0,55.0,25.0,2.5,2.0,600,40,True,True,False,False,False,True,False,True,manual_calc
33,Pani Puri,पानी पुरी,nepali_snack,150,4.0,25.0,4.0,2.5,2.0,400,120,True,True,False,False,False,True,False,True,manual_calc
34,Chana Chatpate,चना चटपटे,nepali_snack,140,5.5,24.0,2.5,5.0,2.5,500,100,True,True,True,True,False,False,False,True,manual_calc
35,Aloo Tama,आलु तामा,nepali_curry,90,2.5,16.0,2.0,3.0,1.5,450,200,True,True,True,False,False,False,False,True,FAO_Nepal_2012
36,Gundruk ko Jhol,गुन्द्रुक को झोल,nepali_curry,40,3.0,5.0,1.0,3.5,0.5,350,150,True,True,True,False,False,False,False,True,NARC
37,Rayo ko Saag,रायो को साग,nepali_vegetable,45,3.5,6.0,1.5,4.0,1.0,200,100,True,True,True,False,False,False,False,True,FAO_Nepal_2012
38,Cauliflower Tarkari,काउलीको तरकारी,nepali_vegetable,60,2.0,8.0,2.5,3.0,2.0,250,150,True,True,True,False,False,False,False,True,manual_calc
39,Aloo Gobi,आलु गोभी,nepali_curry,85,2.5,12.0,3.5,3.5,2.5,300,150,True,True,True,False,False,False,False,True,USDA
40,Mixed Vegetable Tarkari,मिक्स तरकारी,nepali_vegetable,75,2.2,10.0,3.0,3.5,2.0,280,150,True,True,True,False,False,False,False,True,manual_calc
41,Mushroom Curry,च्याउको तरकारी,nepali_curry,65,3.5,6.5,3.0,2.0,1.5,320,150,True,True,True,False,False,False,False,True,manual_calc
42,Paneer Curry,पनिरको तरकारी,nepali_curry,180,8.0,10.0,12.0,1.5,2.0,400,150,True,False,True,False,True,False,False,True,manual_calc
43,Chana Masala,चना मसला,nepali_curry,130,6.0,18.0,4.0,5.0,2.0,420,150,True,True,True,False,False,False,False,True,USDA
44,Aloo Kerau,आलु केराउ,nepali_curry,110,4.0,18.0,2.5,4.5,2.0,350,150,True,True,True,False,False,False,False,True,manual_calc
45,Tama Aloo,तामा आलु,nepali_curry,95,2.5,17.0,2.0,3.5,1.5,400,200,True,True,True,False,False,False,False,True,manual_calc
46,Kerau Paneer,केराउ पनिर,nepali_curry,160,7.0,12.0,9.0,3.0,2.5,380,150,True,False,True,False,True,False,False,True,manual_calc
47,Mula ko Tarkari,मुलाको तरकारी,nepali_vegetable,45,1.5,6.0,2.0,2.5,2.0,250,100,True,True,True,False,False,False,False,True,manual_calc
48,Farsi ko Tarkari,फर्सीको तरकारी,nepali_vegetable,50,1.2,8.5,1.5,2.0,3.0,200,100,True,True,True,False,False,False,False,True,manual_calc
49,Karela ko Tarkari,करेलाको तरकारी,nepali_vegetable,55,1.8,7.0,2.5,3.0,1.5,250,100,True,True,True,False,False,False,False,True,manual_calc
50,Bhindi ko Tarkari,भिन्डीको तरकारी,nepali_vegetable,65,2.0,8.0,3.0,3.5,2.0,280,100,True,True,True,False,False,False,False,True,manual_calc
51,Lauka ko Tarkari,लौकाको तरकारी,nepali_vegetable,40,1.0,6.0,1.5,2.5,2.0,220,100,True,True,True,False,False,False,False,True,manual_calc
52,Iskus ko Tarkari,इस्कुसको तरकारी,nepali_vegetable,45,1.2,7.0,1.5,2.5,2.5,230,100,True,True,True,False,False,False,False,True,manual_calc
53,Sekuwa,सेकुवा,nepali_meat,220,22.0,2.0,13.0,0.5,0.5,450,150,False,False,True,False,False,False,False,True,manual_calc
54,Choila,छोइला,nepali_meat,195,20.0,4.0,10.0,1.0,1.0,500,150,False,False,True,False,False,False,False,True,manual_calc
55,Sukuti,सुकुटी,nepali_meat,310,45.0,0.0,12.0,0.0,0.0,600,50,False,False,True,False,False,False,False,True,FAO_Nepal_2012
56,Buff Curry,बफको तरकारी,nepali_meat,180,18.0,5.0,9.0,1.0,1.0,450,200,False,False,True,False,False,False,False,True,manual_calc
57,Chicken Curry,कुखुराको तरकारी,nepali_meat,165,16.0,6.0,8.0,1.0,1.5,420,200,False,False,True,False,False,False,False,True,manual_calc
58,Mutton Curry,खसीको तरकारी,nepali_meat,210,18.0,5.0,12.0,1.0,1.0,480,200,False,False,True,False,False,False,False,True,manual_calc
59,Fish Curry,माछाको तरकारी,nepali_meat,145,15.0,6.0,6.5,1.0,1.0,400,200,False,False,True,False,False,False,False,True,manual_calc
60,Egg Curry,अन्डाको तरकारी,nepali_meat,155,10.0,8.0,9.0,1.5,1.5,380,200,False,False,True,False,False,False,True,True,manual_calc
